YEAR,DISTRICT ,SCHOOL,TOTAL CANDIDATES,TOTAL DIV 1,% DIV 1,TOTAL DIV 2,% DIV 2,TOTAL DIV 3,% DIV 3,TOTAL DIV 4,% DIV 4,TOTAL DIV 7,% DIV 7,TOTAL DIV 9,% DIV 9,TOTAL X,% X,FEMALE CANDIDATES,FEMALE TOTAL DIV1 ,FEMALE % DIV1 ,FEMALE TOTAL DIV2 ,FEMALE % DIV2,FEMALE TOTAL DIV3,FEMALE % DIV3,FEMALE TOTAL DIV4,FEMALE % DIV4,FEMALE TOTAL DIV7,FEMALE % DIV7,FEMALE TOTAL DIV9,FEMALE % DIV9,FEMALE TOTAL X,FEMALE % X ,MALE CANDIDATES,MALE TOTAL DIV1 ,MALE % DIV1 ,MALE TOTAL DIV2 ,MALE % DIV2,MALE TOTAL DIV3,MALE % DIV3,MALE TOTAL DIV4,MALE % DIV4 ,MALE TOTAL DIV7 ,MALE % DIV7,MALE TOTAL DIV9 ,MALE % DIV9,MALE TOTAL X ,MALE % X
2011,WAKISO,GAYAZA HIGH SCHOOL,176,175,99.4,1,0.6,,0,,0,,0,,0,,0,176,175,99.4,1,0.6,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
2011,MUKONO,NAMILYANGO COLLEGE,151,150,99.3,,0,,0,,0,,0,,0,1,0.7,0,,0,,0,,0,,0,,0,,0,,0,151,,99.3,150,0,,0,,0,,0,,0,,0.7
2011,MUKONO,"MT.ST.MARY'S,NAMAGUNGA",153,151,98.7,2,1.3,,0,,0,,0,,0,,0,153,151,98.7,2,1.3,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
2011,WAKISO,"UGANDA MARTYRS SS,NAMUGONGO",222,216,97.3,6,2.7,,0,,0,,0,,0,,0,113,107,94.7,6,5.3,,0,,0,,0,,0,,0,109,,100,109,0,,0,,0,,0,,0,,0
2011,BUSHENYI MAIN,KITABI SEMINARY,73,71,97.3,2,2.7,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,73,,97.3,71,2.7,2,0,,0,,0,,0,,0
2011,MASAKA MAIN,"ST.HENRY'S COLLEGE,KITOVU",164,159,97,5,3,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,164,,97,159,3,5,0,,0,,0,,0,,0
2011,WAKISO,"KING'S COLLEGE,BUDO",218,210,96.3,7,3.2,,0,,0,,0,,0,1,0.5,74,73,98.6,1,1.4,,0,,0,,0,,0,,0,144,,95.1,137,4.2,6,0,,0,,0,,0,,0.7
2011,KIBAALE,"NOTRE DAME ACADEMY,BUSEESA",25,24,96,1,4,,0,,0,,0,,0,,0,25,24,96,1,4,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
2011,KAMPALA,"ST.JOSEPH'S GIRLS,NSAMBYA",192,183,95.3,9,4.7,,0,,0,,0,,0,,0,192,183,95.3,9,4.7,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
2011,WAKISO,"ST.MARY'S SECONDARY SCHOOL,KITENDE",440,416,94.5,22,5,,0,,0,1,0.2,,0,1,0.2,216,199,92.1,16,7.4,,0,,0,,0,,0,1,0.5,224,,96.9,217,2.7,6,0,,0,,0.4,1,0,,0
2011,MBARARA,NTARE SCHOOL,248,234,94.4,11,4.4,,0,,0,,0,,0,3,1.2,0,,0,,0,,0,,0,,0,,0,,0,248,,94.4,234,4.4,11,0,,0,,0,,0,,1.2
2011,WAKISO,"ST.MARY'S COLLEGE,KISUBI",202,190,94.1,3,1.5,1,0.5,,0,,0,,0,8,4,0,,0,,0,,0,,0,,0,,0,,0,202,,94.1,190,1.5,3,0.5,1,0,,0,,0,,4
2011,KALUNGU,BUKALASA MINOR SEMINARY,51,46,90.2,5,9.8,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,51,,90.2,46,9.8,5,0,,0,,0,,0,,0
2011,MBARARA,MARYHILL HIGH SCHOOL,226,203,89.8,23,10.2,,0,,0,,0,,0,,0,226,203,89.8,23,10.2,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
